id,ra_deg,dec_deg,u,v,mag,electrons_deposited
117836,358.84792615,4.90158077,344.017,137.562,7.990,3.183978
117849,358.88558803,3.50216062,343.231,166.897,7.720,4.082912
117856,358.89957740,0.69583972,342.940,225.493,9.230,1.016179
117858,358.90709245,8.22329782,342.783,67.378,6.840,9.182692
117860,358.90818828,10.79090016,342.760,12.339,8.470,2.046303
117862,358.91691017,6.14162219,342.578,111.470,11.140,0.174973
117873,358.93503937,9.06181964,342.200,49.494,7.270,6.179737
117884,358.98533041,10.86575284,341.152,10.727,8.600,1.815390
117909,359.07492548,4.62656706,339.284,143.342,9.050,1.199416
117912,359.08160384,10.01223322,339.144,29.130,7.360,5.688136
117915,359.08839344,10.91946728,339.003,9.572,8.390,2.202774
117916,359.08958122,9.49899672,338.978,40.146,8.200,2.624037
117921,359.11085615,0.48132036,338.535,229.966,8.610,1.798747
117922,359.11276510,5.97801864,338.495,114.927,9.050,1.199416
117924,359.11567910,0.93229428,338.434,220.564,9.100,1.145434
117926,359.12772785,1.91861967,338.183,199.989,8.970,1.291130
117931,359.13663243,1.25101799,337.997,213.917,8.600,1.815390
117949,359.19117689,3.74162268,336.860,161.892,8.740,1.595769
117950,359.19704781,4.72511081,336.738,141.278,6.870,8.932438
117959,359.25439425,7.46059096,335.542,83.596,9.190,1.054314
117960,359.25588082,7.35420849,335.511,85.851,8.300,2.393150
117966,359.26407206,6.25717600,335.340,109.045,8.970,1.291130
117969,359.26793872,2.61434380,335.260,185.465,9.070,1.177525
117976,359.29204597,5.45973823,334.757,125.844,8.500,1.990536
117991,359.33384807,9.73909876,333.886,35.009,11.710,0.103507
118000,359.35151968,3.00998914,333.517,177.199,7.640,4.395113
118011,359.38853299,9.64716359,332.746,36.984,7.890,3.491162
118028,359.44147776,7.37515118,331.642,85.412,8.520,1.954204
118033,359.44834427,5.40437650,331.499,127.012,8.890,1.389857
118037,359.45241540,5.45648617,331.414,125.916,8.130,2.798788
118042,359.47920649,7.09261536,330.856,91.398,9.970,0.514008
118052,359.51181351,1.98003603,330.176,198.711,8.950,1.315134
118055,359.51901150,0.12814830,330.026,237.329,9.020,1.233020
118062,359.53831823,3.97913266,329.623,156.924,8.650,1.733684
118081,359.59830917,3.57071390,328.373,165.475,8.650,1.733684
118082,359.59834320,3.35458892,328.372,169.996,8.400,2.182579
118095,359.63040916,1.68849841,327.704,204.795,8.940,1.327303
118096,359.63583351,7.65940573,327.591,79.388,11.780,0.097044
118105,359.66837736,3.55580738,326.912,165.787,4.880,55.843162
118115,359.70148489,8.82443598,326.222,54.595,9.160,1.083852
118117,359.70341248,2.83060878,326.182,180.951,12.460,0.051876
118118,359.70440400,9.55014305,326.161,39.073,8.250,2.505936
118131,359.73425473,4.27351665,325.539,150.758,7.920,3.396018
118138,359.74770288,6.41351914,325.259,105.756,8.970,1.291130
118148,359.78298599,8.48760376,324.523,61.780,8.460,2.065238
118157,359.80779597,9.37207305,324.006,42.889,9.360,0.901509
118164,359.82750994,6.86359373,323.595,96.248,4.030,122.171528
118182,359.88043173,2.84380029,322.492,180.676,7.120,7.095288
118189,359.89563887,1.84999158,322.175,201.426,7.490,5.046264
118190,359.89624486,7.81050916,322.163,76.184,8.690,1.670975
118194,359.91926768,5.89291350,321.683,116.735,6.550,11.994165
118201,359.93642583,8.68917169,321.325,57.484,11.940,0.083747
118203,359.94372764,0.28005255,321.173,234.163,6.830,9.267658
118205,359.94922017,11.27342446,321.058,1.940,6.740,10.013374
118206,359.94925671,6.66456539,321.058,100.456,8.850,1.442016
118207,359.95443374,2.11255241,320.950,195.947,8.350,2.285441
118216,359.97605747,5.95663786,320.499,115.392,7.590,4.602248
