id,ra_deg,dec_deg,u,v,mag,electrons_deposited
20080,359.99998969,-0.00001281,385.964,321.993,8.330,2.327930
20081,359.99995367,-0.00001368,616.531,327.541,8.630,1.765916
20085,0.00003323,-0.00002688,107.311,412.000,8.420,2.142743
20101,359.99998863,-0.00003265,392.746,448.990,8.380,2.223156
20103,0.00001811,-0.00000973,204.100,302.265,8.270,2.460198
20133,0.00002090,0.00002090,186.222,106.222,8.160,2.722513
20164,359.99996629,0.00001503,535.771,143.828,8.160,2.722513
20170,359.99998083,-0.00002784,442.681,418.165,8.760,1.566643
20174,359.99996253,0.00000751,559.814,191.914,7.590,4.602248
20179,359.99995174,-0.00002244,628.861,383.642,6.950,8.297935
20202,0.00001060,-0.00002938,252.186,428.029,9.700,0.659128
20213,359.99996417,0.00002235,549.334,96.975,9.110,1.134932
20217,359.99996214,0.00002851,562.280,57.519,8.510,1.972287
20220,0.00002148,-0.00003718,182.523,477.965,9.670,0.643364
20238,359.99998189,-0.00000771,435.900,289.319,8.480,2.027543
20239,359.99997004,0.00001512,511.728,143.211,10.290,0.382798
20245,359.99995636,-0.00003188,599.270,444.058,9.680,0.671382
20247,359.99997187,0.00000077,500.015,235.068,8.140,2.773129
20271,0.00004306,-0.00001060,44.429,307.814,5.850,22.854409
20272,359.99996051,-0.00003073,572.761,436.660,8.140,2.773129
20291,0.00003304,-0.00000694,108.544,284.387,7.470,5.140081
20296,359.99999961,-0.00002928,322.466,427.413,7.130,7.030238
20314,0.00000289,-0.00002389,301.505,392.889,7.930,3.364883
20320,359.99997418,0.00003371,485.219,24.229,8.060,2.985176
20340,0.00000530,0.00002437,286.093,84.028,7.420,5.382326
20353,359.99999663,-0.00001272,341.577,321.377,8.820,1.482416
20362,359.99998179,0.00001137,436.516,167.254,9.740,0.635287
20367,359.99999326,-0.00000048,363.154,243.082,7.990,3.183978
20371,359.99995424,-0.00000694,612.832,284.387,7.370,5.635987
20379,359.99998372,0.00001223,424.187,161.706,8.220,2.576143
20381,0.00002726,0.00000694,145.534,195.613,9.350,0.909850
20406,0.00001272,0.00000029,238.623,238.151,8.020,3.097205
20417,359.99998083,-0.00001002,442.681,304.115,5.910,21.625692
20432,0.00003593,0.00002389,90.050,87.111,9.150,1.093881
20437,359.99996706,-0.00003102,530.839,438.509,8.870,1.415696
20450,359.99998401,-0.00001888,422.337,360.832,9.550,0.756781
20463,0.00002071,-0.00001069,187.455,308.430,8.480,2.027543
20468,0.00002996,-0.00000578,128.272,276.989,8.330,2.327930
20479,0.00004219,0.00003603,49.978,9.433,8.810,1.496132
20483,0.00000511,0.00000636,287.326,199.312,9.680,0.671382
20488,0.00000000,0.00000000,320.000,240.000,9.290,0.961546
20568,0.00001050,0.00000376,252.803,215.957,8.240,2.529123
20596,359.99997996,0.00000029,448.230,238.151,8.760,1.566643
20599,0.00000751,-0.00000684,271.914,283.771,9.550,0.756781
20640,359.99999740,0.00001320,336.645,155.541,8.100,2.877200
20647,359.99998266,-0.00002707,430.968,413.233,7.430,5.332981
20660,359.99998642,0.00003179,406.925,36.559,7.030,7.708502
20671,359.99998709,-0.00003005,402.610,432.345,8.230,2.552525
20675,0.00003102,-0.00002919,121.491,426.796,6.660,10.838521
20682,0.00003834,0.00003747,74.637,0.186,8.140,2.116974
20683,359.99999807,-0.00003400,332.330,457.621,8.100,2.877200
20687,0.00004209,0.00000019,50.594,238.767,8.290,2.415294
20689,0.00002774,-0.00003237,142.451,447.140,7.840,3.655695
20694,359.99996243,0.00000973,560.431,177.735,8.700,1.655656
20720,359.99998093,-0.00000607,442.065,278.839,9.380,0.885054
20726,0.00001849,-0.00000732,201.634,286.853,10.040,0.481915
20750,359.99998863,-0.00003256,392.746,448.373,10.310,0.375811
20787,0.00003304,-0.00001927,108.544,363.298,8.580,1.849141
20797,0.00003593,0.00001252,90.050,159.856,8.900,1.377114
20814,359.99998468,-0.00001387,418.022,328.774,8.710,1.640476
20862,359.99997833,0.00003131,458.710,39.641,7.010,7.851814
20906,0.00003545,-0.00001185,93.132,315.828,10.260,0.393523
20908,359.99999624,-0.00003526,344.043,465.635,7.800,3.792888
20920,359.99995791,0.00003622,589.406,8.200,8.200,2.624037
20921,359.99996898,0.00000116,518.509,232.602,9.040,1.210515
20922,0.00000289,-0.00000915,301.505,298.566,5.610,28.508214
20950,359.99999499,-0.00001840,352.057,357.749,8.640,1.749726
20955,0.00004460,-0.00001011,34.566,304.731,8.530,1.936288
20963,0.00000039,0.00001984,317.534,113.003,6.770,9.794223
20969,359.99997929,-0.00003362,452.545,455.155,9.640,0.696578
20986,359.99997120,-0.00001011,504.330,304.731,9.720,0.647098
20987,0.00000722,0.00001503,273.763,143.828,9.000,1.255943
