id,x,y,area,peak,snr
120,312.102987,449.009173,49,3.400615,1.557
121,469.111073,61.502279,49,5.445982,1.554
122,328.471392,150.141232,49,4.413687,1.552
123,82.747083,356.216583,49,5.461746,1.552
124,584.407551,62.180058,49,3.448674,1.552
125,358.105702,148.763603,49,5.428297,1.552
126,580.034584,379.514423,49,2.464821,1.551
127,525.616100,142.559518,49,4.452903,1.550
128,628.341202,448.742720,49,3.426759,1.550
129,179.330333,80.954967,49,3.427143,1.549
130,55.083963,465.631052,49,4.437524,1.548
131,68.546904,141.647870,49,4.418685,1.548
132,177.432764,327.499615,49,3.470588,1.548
133,543.872313,15.723848,49,3.426759,1.547
134,393.352767,209.213890,49,5.433295,1.547
135,323.241831,319.004983,49,4.441369,1.546
136,576.939041,98.931339,49,3.460977,1.545
137,59.117120,1.652750,28,3.440215,1.545
138,323.891586,471.644981,49,6.442138,1.544
139,226.058919,352.956061,49,5.463668,1.544
140,43.626412,295.920596,49,3.445982,1.543
141,155.805843,164.629980,49,5.447905,1.542
142,364.315230,104.463999,49,4.452518,1.542
143,150.677289,23.501428,49,4.440984,1.542
144,136.451459,226.350572,49,4.408305,1.542
145,250.038107,82.786502,49,4.438293,1.542
146,391.994030,283.091510,49,3.455210,1.541
147,-1.264996,445.294938,28,4.424837,1.541
148,576.679775,359.287283,49,4.458670,1.539
149,127.483551,178.353066,49,4.459823,1.539
150,184.394130,363.751892,49,3.440984,1.538
151,487.931871,166.969889,49,5.426374,1.538
152,406.161708,193.812723,49,4.459823,1.537
153,338.077148,334.925324,49,3.412534,1.537
154,410.975346,322.216562,49,3.448674,1.536
155,637.614010,243.792845,49,4.442907,1.534
156,555.645493,385.381545,49,4.430219,1.534
157,276.778153,342.959664,49,3.457901,1.531
158,458.009344,428.921213,49,5.420992,1.531
159,518.636679,366.064346,49,5.403306,1.529
160,125.598323,-1.765063,28,3.449058,1.529
161,133.954621,282.090041,49,5.456363,1.529
162,286.612693,151.280107,49,6.434064,1.528
163,96.652769,50.378277,49,4.430219,1.528
164,361.172575,157.158107,49,3.435217,1.527
165,338.791061,37.859295,49,4.429066,1.526
166,409.161684,126.485678,49,3.428297,1.526
167,329.856701,419.848927,49,4.410611,1.525
168,538.480111,282.990509,49,3.409842,1.525
169,520.088445,278.625700,49,3.449058,1.524
170,535.828714,458.540209,49,4.429450,1.524
171,79.147755,130.711369,49,4.419839,1.524
172,566.936048,327.012833,49,4.442138,1.524
173,230.851994,113.050872,49,5.452134,1.523
174,510.509632,405.748263,49,5.425606,1.523
175,581.587201,164.359648,49,4.423683,1.522
176,342.142937,442.329934,49,4.396386,1.521
177,608.568243,99.066121,49,2.452903,1.521
178,464.490571,248.608934,49,3.445213,1.521
179,608.602930,206.929482,49,4.434064,1.520
180,270.679756,65.017992,49,5.460208,1.520
181,1360.824597,655.306946,49,4.432141,1.520
182,246.415718,116.835354,49,5.445598,1.519
183,253.641416,211.477807,49,4.414456,1.519
184,475.418817,106.312862,49,3.438293,1.519
185,393.383602,375.204317,49,3.469050,1.519
186,238.597159,82.065184,49,3.443676,1.517
187,-0.468476,218.519662,28,3.423299,1.517
188,372.795412,403.566488,49,4.442138,1.515
189,486.824381,393.291448,49,3.429066,1.514
190,120.124438,440.397476,49,3.454825,1.514
191,167.071312,135.370401,49,3.457901,1.513
192,401.992070,231.090888,49,4.431757,1.513
193,184.342152,263.003633,49,5.398693,1.512
194,579.947561,62.187124,49,3.444060,1.511
195,465.743771,279.543118,49,4.449827,1.510
196,14.535184,309.203929,49,3.482507,1.510
197,166.719657,451.998600,49,3.414072,1.509
198,318.632988,96.479484,49,4.417916,1.508
199,114.348361,412.941844,49,4.455594,1.508
200,438.412709,241.110973,49,4.416763,1.507
201,155.447630,414.356823,49,3.441753,1.507
202,581.513686,346.817240,49,5.420223,1.507
203,30.313199,377.086916,49,3.456747,1.505
204,103.639029,386.734795,49,3.474048,1.505
205,225.818926,151.198856,49,5.423683,1.504
206,502.685664,38.969125,49,5.444444,1.503
207,473.729051,73.414596,49,5.441369,1.503
208,631.668504,6.423030,49,4.411380,1.503
209,531.807949,292.854117,49,5.407151,1.501
210,183.575257,176.315052,49,3.452518,1.500
211,87.035342,79.961146,49,4.427912,1.500
212,115.712474,377.015087,49,4.469819,1.500
213,252.467361,457.169814,49,4.412149,1.499
214,270.898049,412.277064,49,3.438293,1.498
215,421.926582,468.536159,49,6.448289,1.498
216,547.436398,353.355217,49,4.449058,1.497
217,497.883738,364.760753,49,3.427143,1.497
218,498.611589,9.849218,49,4.427528,1.496
219,605.392580,327.244269,49,3.435602,1.496
220,39.385927,440.349170,49,4.455978,1.496
221,634.453155,149.150068,49,4.428297,1.495
222,520.284882,210.907557,49,4.462899,1.495
223,312.106166,431.376610,49,4.397924,1.495
224,279.197142,438.742217,49,4.427528,1.494
225,266.145473,347.344755,49,4.442138,1.493
226,31.632957,469.197226,49,5.480584,1.492
227,388.433821,269.952984,49,5.455594,1.492
228,148.484014,0.757082,28,4.438677,1.491
229,308.194810,327.664455,49,4.472511,1.490
230,166.943382,478.567880,49,5.413303,1.490
231,444.266246,257.714258,49,5.419839,1.488
232,70.841934,305.211713,49,4.430219,1.486
233,61.981566,1.009891,28,3.444060,1.486
234,143.288730,141.148518,49,5.433295,1.485
235,79.726336,314.611822,49,3.425221,1.485
236,147.083617,121.650006,49,4.450596,1.484
237,237.189378,135.605980,49,5.455210,1.484
238,417.853003,233.039483,49,4.429066,1.483
239,6.391433,451.344831,49,3.448289,1.483
240,229.140194,183.448227,49,4.442907,1.483
241,71.576325,428.524432,49,3.416763,1.482
242,94.557724,442.193968,49,5.444060,1.481
243,-41.411172,378.021492,28,3.472511,1.481
244,492.581923,129.069506,49,4.440215,1.480
245,35.870228,52.549292,49,3.454056,1.480
246,580.025356,467.751812,49,3.440215,1.479
247,521.915059,350.633383,49,3.424837,1.478
248,280.755182,446.250154,49,3.429450,1.478
249,275.637025,79.435446,49,4.429835,1.478
250,508.501721,68.594479,49,4.445982,1.477
251,572.040098,436.158685,49,4.437908,1.477
252,391.080524,431.092516,49,3.456363,1.476
253,234.721154,280.828571,49,4.420607,1.476
254,454.157343,123.410795,49,3.425990,1.476
255,159.740251,404.538340,49,4.472895,1.475
256,506.647911,219.122533,49,4.455210,1.475
257,241.286705,359.396040,49,3.452518,1.475
258,522.614869,89.160442,49,3.453672,1.474
259,450.991166,470.559209,49,5.420992,1.474
260,304.659047,13.517168,49,3.404075,1.474
261,541.752617,365.923949,49,4.440984,1.473
262,498.183783,248.615793,49,3.478278,1.473
263,270.357187,465.775757,49,4.391003,1.473
264,227.132052,368.541279,49,3.466359,1.473
265,278.720529,-3.230270,28,3.434833,1.473
266,452.183147,415.712902,49,4.423683,1.472
267,266.224925,369.983988,49,5.407920,1.472
268,92.282456,180.512449,49,3.461746,1.471
269,22.121934,3.966834,49,3.459054,1.471
270,511.948466,250.159500,49,4.492118,1.470
271,251.295934,441.233541,49,6.449443,1.469
272,505.995167,439.851770,49,5.406382,1.469
273,51.951068,315.677119,49,2.440600,1.469
274,44.924740,84.030215,49,3.453287,1.468
275,449.927308,238.203079,49,6.424837,1.468
276,431.028728,111.999231,49,5.404460,1.468
277,609.116570,21.622816,49,3.422914,1.467
278,188.719660,102.071105,49,3.438677,1.467
279,347.000000,154.000000,49,3.425990,1.465
280,444.812026,196.372544,49,5.450596,1.465
281,99.905212,457.377148,49,5.455210,1.464
282,84.221174,112.777789,49,3.418685,1.464
283,363.604938,304.582247,49,3.426759,1.464
284,440.151470,288.249887,49,4.468666,1.464
285,505.705976,199.232423,49,3.433295,1.464
286,514.431576,154.226934,49,4.433295,1.463
287,507.717896,85.356490,49,3.470204,1.463
288,120.679116,83.691591,49,4.433679,1.463
289,292.086126,405.126194,49,5.435217,1.463
290,40.678771,420.693436,49,3.440215,1.462
291,550.515727,289.414179,49,6.427143,1.462
292,616.497670,335.415700,49,6.420607,1.462
293,142.424555,376.177337,49,3.448289,1.462
294,453.969885,273.309747,49,5.455978,1.461
295,608.006557,445.344057,49,4.439062,1.461
296,17.515268,231.118528,49,4.415994,1.460
297,338.901194,322.058429,49,4.423299,1.460
298,44.255828,155.433124,49,3.431757,1.460
299,384.382004,96.402862,49,5.434064,1.459
300,192.150475,358.931989,49,6.460592,1.459
301,103.258900,27.908690,49,4.450211,1.458
302,52.389992,476.187829,42,3.455594,1.458
303,228.351006,23.432104,49,4.449443,1.458
304,298.034974,87.312736,49,3.436755,1.457
305,470.546450,357.389594,49,6.412149,1.457
306,259.251449,183.705668,49,4.455210,1.456
307,259.387513,287.816751,49,3.414072,1.456
308,255.589624,150.876767,49,4.449827,1.455
309,369.936379,273.067091,49,5.437524,1.455
310,568.337546,377.734543,49,4.460592,1.454
311,308.610849,368.840654,49,4.427912,1.454
312,154.251513,103.987846,49,4.461361,1.453
313,486.505053,268.354334,49,4.458670,1.453
314,120.199548,246.492830,49,4.399846,1.452
315,425.632039,68.316067,49,3.397155,1.452
316,487.791205,137.138065,49,4.447520,1.451
317,504.673499,131.397604,49,3.440215,1.451
318,605.698720,45.417116,49,3.448674,1.451
319,33.084929,252.956810,49,4.439062,1.451
320,108.982518,436.447162,49,5.455210,1.450
321,506.915026,316.260320,49,5.399077,1.449
322,412.862319,460.430199,49,5.430604,1.449
323,457.971228,220.393199,49,4.432526,1.449
324,554.678030,249.385459,49,3.473280,1.449
325,195.385395,442.656284,49,3.411765,1.449
326,467.702532,461.743578,49,5.417916,1.448
327,620.516712,91.565147,49,4.478662,1.448
328,117.853563,165.415289,49,4.442907,1.448
329,540.487214,322.368569,49,5.438293,1.448
330,553.562145,477.895788,28,4.416378,1.448
331,458.343327,112.309818,49,4.433295,1.448
332,132.260236,326.519881,49,3.440600,1.447
333,400.386876,433.351287,49,4.450211,1.447
334,637.741395,120.226199,28,3.447136,1.447
335,367.346739,424.348382,49,3.432910,1.447
336,279.326321,406.225955,49,3.423683,1.447
337,548.821024,351.775574,49,4.449058,1.446
338,284.073502,112.813306,49,4.427528,1.446
339,372.112662,135.007479,49,3.429450,1.446
340,60.000000,405.000000,49,3.420607,1.446
341,349.132075,348.293169,49,4.376394,1.444
342,6.687132,288.576137,49,5.452903,1.443
343,634.887342,308.394875,49,4.426374,1.442
344,469.115074,220.775175,49,3.440984,1.442
345,504.499870,361.658469,49,4.417532,1.442
346,579.890390,204.323878,49,2.461746,1.442
347,582.696296,477.818459,28,3.417147,1.441
348,0.526109,390.099412,42,3.465975,1.441
349,251.434608,191.324364,49,3.422145,1.441
350,552.000000,325.000000,49,4.462130,1.440
351,257.836830,250.605833,49,3.440215,1.440
352,588.506265,421.543203,49,7.411380,1.440
353,641.733333,372.640506,28,3.458670,1.440
354,91.428438,383.664640,49,3.492503,1.440
355,127.044161,400.228072,49,6.495194,1.439
356,285.747731,276.312441,49,4.410996,1.439
357,300.263986,301.913970,49,3.469050,1.438
358,36.553400,369.456795,49,4.456363,1.437
359,2.599106,189.016533,49,3.414840,1.437
360,521.959096,469.750244,49,5.414072,1.437
361,468.871395,207.805773,49,4.442907,1.436
362,567.298177,429.238648,49,4.442907,1.435
363,115.165822,121.648457,49,3.435217,1.435
364,173.717120,199.344062,49,4.444060,1.435
365,593.265741,92.248282,49,3.474817,1.435
366,66.392655,367.313904,49,4.462514,1.435
367,322.808457,459.965868,49,4.411765,1.434
368,26.330063,410.472827,49,3.443291,1.434
369,517.671519,51.260019,49,4.409073,1.434
370,299.625934,363.631846,49,5.417916,1.434
371,541.666387,478.466349,28,3.443291,1.434
372,7.061008,47.021800,49,4.420992,1.433
373,274.122064,308.922970,49,3.439446,1.433
374,343.365313,284.628144,49,4.458670,1.433
375,478.009908,345.056189,49,3.437140,1.433
376,422.183088,123.053544,49,5.421761,1.433
377,564.002976,22.947895,49,4.413303,1.433
378,141.881667,433.260731,49,4.421376,1.432
379,238.821160,74.283765,49,4.444829,1.432
380,146.751896,329.885489,49,4.451749,1.432
381,562.817853,1.671895,49,4.429835,1.432
382,45.885532,6.031624,49,5.444444,1.432
383,627.959308,191.963023,49,3.427143,1.432
384,33.470556,73.975825,49,3.443676,1.431
385,463.136109,234.083777,49,4.419839,1.431
386,553.253968,436.422826,49,4.428297,1.431
387,383.868806,154.735626,49,3.432526,1.431
388,416.683859,146.750977,49,4.422530,1.431
389,458.748159,202.495044,49,2.465206,1.430
390,547.502912,136.599426,49,4.477893,1.430
391,592.585854,278.617893,49,2.420223,1.429
392,337.880755,139.461433,49,3.412149,1.428
393,55.174686,333.736789,49,4.445213,1.428
394,101.107671,179.867411,49,3.464437,1.428
395,365.751901,49.951856,49,3.437908,1.427
396,590.811562,326.738372,49,3.414840,1.427
397,267.574482,127.844892,49,6.461746,1.427
398,251.259993,294.386688,49,4.416378,1.427
399,-0.840546,357.386765,28,4.491734,1.427
400,97.529717,351.036350,49,4.457132,1.426
401,303.394849,179.205317,49,4.435217,1.426
402,63.751649,347.954053,49,5.472126,1.426
403,498.612201,147.399953,49,4.424068,1.425
404,460.796115,310.228915,49,6.446751,1.425
405,25.105913,199.348356,49,4.422914,1.425
406,147.867926,304.228294,49,6.447136,1.425
407,598.162648,306.887781,49,3.447520,1.425
408,233.449628,432.019200,49,7.445213,1.425
409,528.048032,359.031828,49,3.419454,1.424
410,499.689060,398.754319,49,3.430988,1.423
411,606.535075,454.282346,49,2.435602,1.422
412,584.593065,140.509763,49,3.436371,1.422
413,404.341615,281.820659,49,4.439446,1.422
414,393.939844,12.696070,49,3.460592,1.422
415,270.331565,0.488417,28,4.426374,1.421
416,534.493359,483.867173,28,2.414072,1.421
417,83.987416,444.284778,49,3.425221,1.420
418,440.044705,338.199423,49,4.474433,1.419
419,530.766020,399.342919,49,4.414456,1.419
420,208.814936,304.150489,49,3.428297,1.419
421,478.100589,123.504072,49,3.443291,1.418
422,27.193717,101.952138,49,4.430988,1.417
423,302.594889,452.868576,49,3.368704,1.417
424,489.173063,237.748111,49,4.459439,1.417
425,289.615145,134.110168,49,5.427528,1.417
426,480.993961,11.224693,49,5.449443,1.416
427,263.867397,97.390339,49,4.458285,1.415
428,437.547704,382.939596,49,3.472126,1.415
429,606.163432,216.391992,49,4.439062,1.415
430,156.991889,333.997604,49,4.455594,1.414
431,484.433526,285.556910,49,4.462514,1.413
432,45.646563,208.890540,49,4.447905,1.413
433,361.660568,477.502425,28,3.467512,1.412
434,65.286422,290.212683,49,3.422145,1.412
435,448.320261,52.618166,49,5.403691,1.411
436,200.539458,410.335057,49,3.434833,1.411
437,526.109100,136.373418,49,3.445982,1.411
438,569.640932,463.548224,49,3.417147,1.411
439,467.180431,233.557024,49,4.430219,1.411
440,94.823729,298.810560,49,4.424837,1.411
441,199.899482,170.645137,49,3.447520,1.410
442,169.893306,294.903261,49,4.438677,1.410
443,600.496266,340.073924,49,4.429450,1.410
444,239.352146,457.417827,49,5.417147,1.410
445,55.399143,21.193632,49,3.445213,1.409
446,506.490662,452.381501,49,4.403306,1.409
447,117.783254,359.958892,49,4.448289,1.409
448,231.376748,294.679742,49,4.416378,1.409
449,605.810769,427.005606,49,5.420607,1.409
450,400.378416,314.904248,49,4.449058,1.408
451,99.565363,235.167044,49,4.369858,1.408
452,150.322442,53.853525,49,3.437524,1.408
453,166.050523,397.386676,49,5.453672,1.408
454,612.544957,189.634166,49,3.445982,1.408
455,544.951088,232.514995,49,2.479815,1.408
456,404.504499,186.683120,49,3.447136,1.407
457,513.205200,393.059784,49,3.423299,1.407
458,448.986959,7.821570,49,3.454441,1.406
459,24.140219,15.683323,49,2.454825,1.406
460,159.712196,137.585665,49,5.444444,1.406
461,296.337490,443.772224,49,3.403306,1.406
462,377.807682,30.778551,49,4.451749,1.406
463,89.045157,216.853071,49,4.427912,1.405
464,119.897539,431.707258,49,3.452903,1.405
465,156.984377,257.690908,49,4.414840,1.405
466,390.000000,194.000000,49,5.452134,1.405
467,74.357304,251.126479,49,4.408305,1.405
468,429.975601,1.352419,35,4.452518,1.404
469,201.052260,280.205218,49,3.407920,1.404
470,115.481599,104.688702,49,3.448674,1.404
471,16.875980,310.162906,49,4.474048,1.404
472,237.817277,54.316545,49,4.467512,1.404
473,117.032869,312.376655,49,3.426759,1.404
474,104.316109,332.226751,49,6.419070,1.403
475,449.110005,5.637488,49,4.459054,1.403
476,572.580365,470.846577,49,3.420607,1.403
477,282.505871,325.033644,49,5.451749,1.402
478,260.548460,314.690683,49,4.425606,1.402
479,560.621499,0.589964,28,4.427528,1.402
480,132.484438,246.709113,49,3.415994,1.401
481,115.749066,128.782651,49,5.452518,1.401
482,52.063201,423.009645,49,3.435986,1.401
483,11.776141,133.805044,49,4.393695,1.401
484,342.140642,393.524011,49,3.440984,1.401
485,583.462909,435.980888,49,4.424452,1.400
486,31.251558,421.894009,49,4.451365,1.400
487,405.985005,381.691429,49,3.481353,1.400
488,589.519956,259.432229,49,3.436755,1.400
489,322.274587,175.178627,49,4.441369,1.400
490,627.754043,358.310142,49,4.419839,1.399
491,503.159629,351.704044,49,5.435602,1.399
492,337.058450,348.421639,49,4.409073,1.399
493,211.134904,86.913856,49,4.418685,1.398
494,120.075828,199.807618,49,4.440600,1.398
495,51.000000,347.000000,49,3.453672,1.398
496,192.717202,236.643434,49,4.419454,1.398
497,13.742128,397.499885,49,4.454056,1.398
498,281.455634,9.664615,49,3.434064,1.397
499,125.924928,323.063914,49,4.425221,1.397
