det_x,det_y,truth_x,truth_y,dist
320.003714,239.998347,320.004,239.998,0.0004496721027739159
101.38063,1.136978,317.918,240.151,322.5153257120247
641.205766,471.305018,320.949,240.107,394.98977163454134
0.971455,105.049297,317.918,240.151,344.53966758696635
158.768431,412.659063,317.918,240.151,234.70751396769924
637.44392,409.819666,320.949,240.107,359.12591578252045
239.306172,-27.26667,319.725,238.632,277.79361152600774
247.993014,197.628134,317.918,240.151,81.83946358544976
382.20734,0.420954,321.142,238.685,245.96489864532646
217.487017,187.827974,317.918,240.151,113.24346072132803
638.147928,438.294287,320.949,240.107,374.02320870872376
586.28906,129.854531,321.142,238.685,286.6130394964673
210.99849,322.168386,317.918,240.151,134.75397294667454
350.774846,47.872572,321.142,238.685,193.09968472608884
638.964516,296.821459,321.159,239.187,322.98928289379654
69.576171,57.565072,317.918,240.151,308.2390065106726
639.0,229.0,321.159,239.187,318.0042079124111
635.221952,0.169779,321.142,238.685,394.3801806594763
6.709457,235.519138,317.918,240.151,311.243010173353
262.799851,29.044931,319.725,238.632,217.18013739907934
396.0,479.0,319.802,240.876,250.01834848666607
140.8993,192.973215,317.918,240.151,183.19760791887057
226.038314,271.965156,317.918,240.151,97.23177063825861
426.850687,133.676675,321.142,238.685,149.00025109565954
303.170098,68.982143,319.725,238.632,170.45567975385876
143.348755,479.640249,317.918,240.151,296.3604590468405
153.225731,101.721257,317.918,240.151,215.1425973985961
233.0609,315.238163,317.918,240.151,113.30847041505135
103.944126,231.296721,317.918,240.151,214.1569915066462
24.461222,167.526398,317.918,240.151,302.3097970126004
286.009976,334.376266,319.802,240.876,99.41931717773629
11.487876,127.323693,317.918,240.151,326.5416085271946
261.065542,469.109563,319.802,240.876,235.6703858741287
0.941498,293.991494,317.918,240.151,321.5165650698577
344.587767,372.725382,319.802,240.876,134.15883787347076
581.860472,347.277638,320.949,240.107,282.0644285806592
489.0,0.0,321.142,238.685,291.79931012427016
467.657036,415.656761,320.678,240.44,228.70013196065372
283.006887,479.770387,319.802,240.876,241.71141570225547
0.177677,420.051121,317.918,240.151,365.13417588053704
450.992727,446.510331,320.678,240.44,243.81736892915174
357.286072,26.619501,321.142,238.685,215.12361517708877
75.96931,138.370991,317.918,240.151,262.4849306622309
172.855984,301.068563,317.918,240.151,157.33384241110755
228.444238,196.878062,317.918,240.151,99.38863742694377
169.695622,124.992292,317.918,240.151,187.70029666520017
569.018071,322.462797,320.949,240.107,261.3823660584398
275.163082,428.554771,319.802,240.876,192.9143698231969
628.823195,-1.192079,321.142,238.685,390.1393735400214
170.578407,397.905867,317.918,240.151,215.86003272396985
392.467011,183.954061,321.142,238.685,89.90402036600948
446.670832,459.494464,320.678,240.44,252.7034861526598
266.964255,6.824065,319.725,238.632,237.73644008001648
56.182039,59.897295,317.918,240.151,317.8004270714886
0.0,159.0,317.918,240.151,328.1117790098368
398.732329,325.10615,320.678,240.44,115.15569995212023
472.0,479.0,320.678,240.44,282.5052588607865
304.556524,135.911382,319.725,238.632,103.83452232501723
605.362866,360.242259,320.949,240.107,308.7454090801401
554.900129,70.823738,321.142,238.685,287.78510412078884
618.214314,364.719996,320.949,240.107,322.32757511515297
104.696673,409.420698,317.918,240.151,272.24173990894957
36.208131,341.825121,317.918,240.151,299.49637255419276
632.729913,66.080524,321.142,238.685,356.20125303391364
467.364487,250.627652,321.159,239.187,146.65242223397564
455.18608,7.266278,321.142,238.685,267.4367967860064
422.017048,38.251552,321.142,238.685,224.38659136893855
422.609366,473.951626,319.802,240.876,254.7422264548024
215.63264,291.433658,317.918,240.151,114.42117759346195
353.714539,-1.174575,321.142,238.685,242.0611204140127
69.098744,308.613598,317.918,240.151,258.06617267922417
2.790621,391.93742,317.918,240.151,349.77761834031924
157.129769,234.008042,317.918,240.151,160.90553489889376
550.111015,137.634836,321.142,238.685,250.27573888512865
435.124785,332.067355,320.949,240.107,146.6042863360149
190.064534,216.968119,317.918,240.151,129.9382728054876
234.856788,397.268356,317.918,240.151,177.72177271043543
629.797589,138.801398,321.142,238.685,324.4148679845474
646.712948,414.805773,320.949,240.107,369.6509314261932
443.179945,162.910283,321.142,238.685,143.6491133152346
210.796143,275.615871,317.918,240.151,112.83992787207502
419.720794,260.222496,321.159,239.187,100.7815425981586
1.128157,314.727796,317.918,240.151,325.44969370025575
194.0,479.0,317.918,240.151,269.0808717188942
491.892626,162.77103,321.142,238.685,186.86547867531013
81.870108,478.940738,317.918,240.151,335.7665056132793
531.887322,257.857176,321.159,239.187,211.55377842243016
235.674225,138.990998,319.725,238.632,130.35667247081997
125.665538,159.347647,317.918,240.151,208.54301954537837
442.025058,177.541777,321.142,238.685,135.46662847454016
61.998912,440.159639,317.918,240.151,324.80461092383536
130.3974,179.878741,317.918,240.151,196.9688316189216
453.969797,179.028841,321.142,238.685,145.6093436648435
196.791719,48.977686,319.725,238.632,226.01183684983306
433.935117,402.687163,320.678,240.44,197.86691601351717
343.018183,324.32106,319.802,240.876,86.61448603722755
24.768409,192.706102,317.918,240.151,296.9641410165505
53.987385,384.736914,317.918,240.151,300.9392896607115
133.144089,223.241786,317.918,240.151,185.54600428016153
72.663459,-0.158358,317.918,240.151,343.36333150686437
0.684899,360.824518,317.918,240.151,339.4096909585414
294.985951,171.908971,319.725,238.632,71.16166906670503
352.681237,447.52202,319.802,240.876,209.24536269065217
464.692733,55.854153,321.142,238.685,232.45199839875477
523.396758,186.480138,321.142,238.685,208.88354351187553
603.630357,299.548381,321.159,239.187,288.8486867577013
480.50417,428.321361,320.678,240.44,246.66538149501488
150.557609,448.555229,317.918,240.151,267.286032446062
217.387002,227.969723,317.918,240.151,101.26630766561372
378.506148,352.31374,320.678,240.44,125.93581064454027
262.864804,238.343204,317.918,240.151,55.08286953483845
181.474329,15.401294,319.725,238.632,262.574172631675
48.997959,284.179061,317.918,240.151,272.5003827646145
571.723789,386.038864,320.949,240.107,290.1449701933656
617.556807,294.750672,321.159,239.187,301.5609086744051
56.553569,401.710404,317.918,240.151,307.26667052055774
637.766114,165.02324,321.142,238.685,325.0798124347044
237.759043,299.281277,317.918,240.151,99.60847376315219
17.62094,0.961469,317.918,240.151,383.91399555713457
