id,ra_deg,dec_deg,mag,x,y,z,u,v
118011,359.38853299,9.64716359,7.890,0.985802284543,-0.0105209924029,0.167580322555,332.746,36.984
118028,359.44147776,7.37515118,8.520,0.991679808148,-0.00966725258112,0.128365502919,331.642,85.412
118033,359.44834427,5.40437650,8.890,0.995508628493,-0.0095852611573,0.0941843583822,331.499,127.012
118037,359.45241540,5.45648617,8.130,0.995423239966,-0.00951370306158,0.0950897617497,331.414,125.916
118042,359.47920649,7.09261536,9.970,0.992306866507,-0.00901988267204,0.12347357774,330.856,91.398
118052,359.51181351,1.98003603,8.950,0.999366649388,-0.00851527124031,0.0345512698411,330.176,198.711
118055,359.51901150,0.12814830,9.020,0.999962262474,-0.00839471339076,0.00223660790109,330.026,237.329
118062,359.53831823,3.97913266,8.650,0.997557003495,-0.00803835561753,0.0693931525187,329.623,156.924
118081,359.59830917,3.57071390,8.650,0.998034164687,-0.00699716006733,0.0622803810948,328.373,165.475
118082,359.59834320,3.35458892,8.400,0.998261989524,-0.00699816440173,0.0585151772332,328.372,169.996
118095,359.63040916,1.68849841,8.940,0.999544999334,-0.00644773145652,0.029465591228,327.704,204.795
118096,359.63583351,7.65940573,11.780,0.991057862209,-0.00629915372773,0.133284036615,327.591,79.388
118105,359.66837736,3.55580738,4.880,0.998058144663,-0.0057767321709,0.0620207162017,326.912,165.787
118115,359.70148489,8.82443598,9.160,0.988149633166,-0.00514837686157,0.153407290207,326.222,54.595
118117,359.70341248,2.83060878,12.460,0.998766516766,-0.00517008988457,0.0493833490004,326.182,180.951
118118,359.70440400,9.55014305,8.250,0.986127656768,-0.00508759946257,0.165910701553,326.161,39.073
118131,359.73425473,4.27351665,7.920,0.997208957591,-0.00462521788209,0.074517798271,325.539,150.758
118138,359.74770288,6.41351914,8.970,0.993731955669,-0.0043758429168,0.111703412125,325.259,105.756
118148,359.78298599,8.48760376,8.460,0.989040725127,-0.00374611746327,0.147595428944,324.523,61.780
118157,359.80779597,9.37207305,9.360,0.986646100763,-0.0033098086755,0.162845070592,324.006,42.889
118164,359.82750994,6.86359373,4.030,0.992828978442,-0.00298894000373,0.119506007397,323.595,96.248
118182,359.88043173,2.84380029,7.120,0.998766327025,-0.00208428851532,0.0496133020618,322.492,180.676
118189,359.89563887,1.84999158,7.490,0.999477115505,-0.00182049493734,0.0322828341456,322.175,201.426
118190,359.89624486,7.81050916,8.690,0.99072130652,-0.00179406827332,0.135897292568,322.163,76.184
118194,359.91926768,5.89291350,6.550,0.994714535716,-0.00140159826841,0.102669508414,321.683,116.735
118201,359.93642583,8.68917169,11.940,0.98852184737,-0.00109684312349,0.151074002422,321.325,57.484
118203,359.94372764,0.28005255,6.830,0.999987572247,-0.000982126069884,0.00488781961359,321.173,234.163
118205,359.94922017,11.27342446,6.740,0.980705053727,-0.000869174821787,0.195491284023,321.058,1.940
118206,359.94925671,6.66456539,8.850,0.993242225162,-0.000879652775077,0.116056487829,321.058,100.456
118207,359.95443374,2.11255241,8.350,0.999320025839,-0.00079474066166,0.0368626415729,320.950,195.947
118216,359.97605747,5.95663786,7.590,0.994600632116,-0.000415619737805,0.103775767187,320.499,115.392
