id,x,y,area,peak,snr
138,205.251710,56.254213,49,1.724721,1.528
139,647.622312,151.708738,28,1.710496,1.527
140,19.358371,165.925674,49,1.722799,1.525
141,284.675735,232.956895,49,1.723568,1.525
142,462.401375,60.594502,49,2.692810,1.524
143,321.762854,-1.945650,49,1.687043,1.524
144,73.111195,71.511017,49,2.700115,1.522
145,535.152038,436.024202,49,1.702422,1.522
146,393.541436,50.515203,49,1.704344,1.522
147,476.014076,73.011905,49,2.682814,1.521
148,308.950327,15.091085,49,1.700500,1.520
149,629.679604,377.640917,49,1.694733,1.520
150,221.391441,436.268895,49,1.720492,1.519
151,321.047658,332.944738,49,1.718185,1.518
152,315.520330,355.869760,49,1.718185,1.518
153,520.757169,13.540203,49,1.718185,1.518
154,364.502608,148.626862,49,1.714725,1.517
155,432.201726,383.432899,49,1.708574,1.517
156,606.090790,301.103908,49,2.701269,1.516
157,215.930830,231.229030,49,1.703576,1.516
158,375.085944,202.193259,49,2.703191,1.516
159,163.588400,340.245918,49,1.698193,1.514
160,568.948016,333.793801,49,1.709727,1.514
161,137.539863,265.621995,49,1.705113,1.513
162,268.408866,80.989416,49,1.691657,1.513
163,422.115619,278.482705,49,1.708574,1.512
164,15.437066,369.074109,49,1.697424,1.507
165,178.964961,196.471472,49,1.695886,1.507
166,235.671308,462.509215,49,1.720877,1.506
167,342.710747,308.882321,49,1.718185,1.506
168,641.642418,318.184635,49,1.719339,1.505
169,623.343979,82.701324,49,1.722030,1.505
170,286.706093,317.616734,49,1.705113,1.504
171,320.939818,41.179122,49,2.703191,1.502
172,274.179756,385.110227,49,1.721261,1.502
173,609.420578,145.101292,49,1.708574,1.501
174,189.621424,442.917378,49,1.698962,1.501
175,191.029521,411.842862,49,2.698962,1.501
176,514.540096,284.180597,49,1.686274,1.500
177,222.433551,456.649544,49,1.718954,1.500
